content_id,creator_id,dtype,episode_min,episode_max
1,1,WEBNOVEL,1,32
15001,1,WEBNOVEL,600244,600285
30001,1,WEBNOVEL,1199891,1199938
45001,1,WEBNOVEL,1800549,1800590
2,2,WEBNOVEL,33,75
15002,2,WEBNOVEL,600286,600321
30002,2,WEBNOVEL,1199939,1199985
45002,2,WEBNOVEL,1800591,1800636
3,3,WEBNOVEL,76,115
15003,3,WEBNOVEL,600322,600369
30003,3,WEBNOVEL,1199986,1200035
45003,3,WEBNOVEL,1800637,1800680
4,4,WEBNOVEL,116,165
15004,4,WEBNOVEL,600370,600400
30004,4,WEBNOVEL,1200036,1200068
45004,4,WEBNOVEL,1800681,1800717
5,5,WEBNOVEL,166,199
15005,5,WEBNOVEL,600401,600449
30005,5,WEBNOVEL,1200069,1200110
45005,5,WEBNOVEL,1800718,1800755
6,6,WEBNOVEL,200,232
15006,6,WEBNOVEL,600450,600497
30006,6,WEBNOVEL,1200111,1200158
45006,6,WEBNOVEL,1800756,1800796
7,7,WEBNOVEL,233,272
15007,7,WEBNOVEL,600498,600544
30007,7,WEBNOVEL,1200159,1200198
45007,7,WEBNOVEL,1800797,1800830
8,8,WEBNOVEL,273,320
15008,8,WEBNOVEL,600545,600584
30008,8,WEBNOVEL,1200199,1200231
45008,8,WEBNOVEL,1800831,1800874
9,9,WEBNOVEL,321,369
15009,9,WEBNOVEL,600585,600625
30009,9,WEBNOVEL,1200232,1200278
45009,9,WEBNOVEL,1800875,1800916
10,10,WEBNOVEL,370,403
15010,10,WEBNOVEL,600626,600657
30010,10,WEBNOVEL,1200279,1200327
45010,10,WEBNOVEL,1800917,1800962
11,11,WEBNOVEL,404,435
15011,11,WEBNOVEL,600658,600691
30011,11,WEBNOVEL,1200328,1200372
45011,11,WEBNOVEL,1800963,1801010
12,12,WEBNOVEL,436,465
15012,12,WEBNOVEL,600692,600723
30012,12,WEBNOVEL,1200373,1200406
45012,12,WEBNOVEL,1801011,1801059
13,13,WEBNOVEL,466,514
15013,13,WEBNOVEL,600724,600764
30013,13,WEBNOVEL,1200407,1200441
45013,13,WEBNOVEL,1801060,1801100
14,14,WEBNOVEL,515,556
15014,14,WEBNOVEL,600765,600811
30014,14,WEBNOVEL,1200442,1200481
